"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
54012_U_738308,1,1,1,1,1,0,0,20240521,20240621
53953_D_869132,0,0,0,0,0,0,1,20240521,20240621
53953_S_842433,0,0,0,0,0,1,0,20240521,20240621
53953_U_983828,1,1,1,1,1,0,0,20240521,20240621
53956_D_869133,0,0,0,0,0,0,1,20240521,20240621
53956_S_886119,0,0,0,0,0,1,0,20240521,20240621
53956_U_1047119,1,1,1,1,1,0,0,20240521,20240621
54006_D_869123,0,0,0,0,0,0,1,20240521,20240621
54006_S_842436,0,0,0,0,0,1,0,20240521,20240621
54006_U_808406,1,1,1,1,1,0,0,20240521,20240621
53970_D_869129,0,0,0,0,0,0,1,20240521,20240621
53970_S_886118,0,0,0,0,0,1,0,20240521,20240621
53970_U_983832,1,1,1,1,1,0,0,20240521,20240621
53971_D_869130,0,0,0,0,0,0,1,20240521,20240621
53971_S_886122,0,0,0,0,0,1,0,20240521,20240621
53971_U_1047130,1,1,1,1,1,0,0,20240521,20240621
62371_D_845660,0,0,0,0,0,0,1,20240521,20240621
62371_S_974476,0,0,0,0,0,1,0,20240521,20240621
62371_U_975028,1,1,1,1,1,0,0,20240521,20240621
58695_D_869125,0,0,0,0,0,0,1,20240521,20240621
58695_S_886117,0,0,0,0,0,1,0,20240521,20240621
58695_U_983831,1,1,1,1,1,0,0,20240521,20240621
54783_D_869126,0,0,0,0,0,0,1,20240521,20240621
54783_S_886121,0,0,0,0,0,1,0,20240521,20240621
54783_U_1047126,1,1,1,1,1,0,0,20240521,20240621
55091_U_1008484,1,1,1,1,1,0,0,20240521,20240621
58806_U_975081,1,1,1,1,1,0,0,20240521,20240621
62360_D_1040233,0,0,0,0,0,0,1,20240521,20240621
62360_S_1040201,0,0,0,0,0,1,0,20240521,20240621
62360_U_1037309,1,1,1,1,1,0,0,20240521,20240621
62362_S_1046276,0,0,0,0,0,1,0,20240521,20240621
62362_U_1037310,1,1,1,1,1,0,0,20240521,20240621
56998_D_913860,0,0,0,0,0,0,1,20240521,20240621
56998_S_910971,0,0,0,0,0,1,0,20240521,20240621
56998_U_1026527,1,1,1,1,1,0,0,20240521,20240621
58916_D_869120,0,0,0,0,0,0,1,20240521,20240621
58916_S_886096,0,0,0,0,0,1,0,20240521,20240621
58916_U_1047120,1,1,1,1,1,0,0,20240521,20240621
57056_D_901464,0,0,0,0,0,0,1,20240521,20240621
57056_S_901222,0,0,0,0,0,1,0,20240521,20240621
57056_U_898401,1,1,1,1,1,0,0,20240521,20240621
61183_D_869121,0,0,0,0,0,0,1,20240521,20240621
61183_S_886101,0,0,0,0,0,1,0,20240521,20240621
61183_U_983830,1,1,1,1,1,0,0,20240521,20240621
58919_D_869122,0,0,0,0,0,0,1,20240521,20240621
58919_S_886120,0,0,0,0,0,1,0,20240521,20240621
58919_U_1047122,1,1,1,1,1,0,0,20240521,20240621
57396_U_857945,1,1,1,1,1,0,0,20240521,20240621
57790_U_681167,1,1,1,1,1,0,0,20240521,20240621
57991_S_1021168,0,0,0,0,0,1,0,20240521,20240621
57991_U_1017863,1,1,1,1,1,0,0,20240521,20240621
58178_U_1036540,1,1,1,1,1,0,0,20240521,20240621
58346_U_1011396,1,1,1,1,1,0,0,20240521,20240621
58400_D_790844,0,0,0,0,0,0,1,20240521,20240621
58400_S_790040,0,0,0,0,0,1,0,20240521,20240621
58400_U_1037306,1,1,1,1,1,0,0,20240521,20240621
58401_D_790845,0,0,0,0,0,0,1,20240521,20240621
58401_S_790039,0,0,0,0,0,1,0,20240521,20240621
58401_U_1037307,1,1,1,1,1,0,0,20240521,20240621
58649_D_733532,0,0,0,0,0,0,1,20240521,20240621
58649_S_942127,0,0,0,0,0,1,0,20240521,20240621
58649_U_950049,1,1,1,1,1,0,0,20240521,20240621
58703_U_950051,1,1,1,1,1,0,0,20240521,20240621
60650_U_1026532,1,1,1,1,1,0,0,20240521,20240621
60717_S_939309,0,0,0,0,0,1,0,20240521,20240621
60717_U_837194,1,1,1,1,1,0,0,20240521,20240621
68083_D_911015,0,0,0,0,0,0,1,20240521,20240621
68083_S_910965,0,0,0,0,0,1,0,20240521,20240621
68083_U_1047141,1,1,1,1,1,0,0,20240521,20240621
64129_D_1046824,0,0,0,0,0,0,1,20240521,20240621
64129_S_1046296,0,0,0,0,0,1,0,20240521,20240621
64129_U_1026524,1,1,1,1,1,0,0,20240521,20240621
64153_U_1026525,1,1,1,1,1,0,0,20240521,20240621
64967_D_879026,0,0,0,0,0,0,1,20240521,20240621
64967_S_942080,0,0,0,0,0,1,0,20240521,20240621
64967_U_1007908,1,1,1,1,1,0,0,20240521,20240621
64966_D_898377,0,0,0,0,0,0,1,20240521,20240621
64966_S_942085,0,0,0,0,0,1,0,20240521,20240621
64966_U_1032651,1,1,1,1,1,0,0,20240521,20240621
64968_D_879033,0,0,0,0,0,0,1,20240521,20240621
64968_S_878901,0,0,0,0,0,1,0,20240521,20240621
64968_U_1047136,1,1,1,1,1,0,0,20240521,20240621
65525_U_1004792,1,1,1,1,1,0,0,20240521,20240621
67946_U_1026526,1,1,1,1,1,0,0,20240521,20240621
67948_U_1033031,1,1,1,1,1,0,0,20240521,20240621
68562_U_1047142,1,1,1,1,1,0,0,20240521,20240621
68742_U_1026534,1,1,1,1,1,0,0,20240521,20240621
69127_D_958622,0,0,0,0,0,0,1,20240521,20240621
69127_S_1036057,0,0,0,0,0,1,0,20240521,20240621
69127_U_1047163,1,1,1,1,1,0,0,20240521,20240621
69133_D_958623,0,0,0,0,0,0,1,20240521,20240621
69133_S_996095,0,0,0,0,0,1,0,20240521,20240621
69133_U_1047167,1,1,1,1,1,0,0,20240521,20240621
71213_D_928339,0,0,0,0,0,0,1,20240521,20240621
71213_S_931507,0,0,0,0,0,1,0,20240521,20240621
71213_U_928586,1,1,1,1,1,0,0,20240521,20240621
69168_U_928588,1,1,1,1,1,0,0,20240521,20240621
70209_D_907899,0,0,0,0,0,0,1,20240521,20240621
70209_S_939311,0,0,0,0,0,1,0,20240521,20240621
70209_U_1029560,1,1,1,1,1,0,0,20240521,20240621
69750_D_961981,0,0,0,0,0,0,1,20240521,20240621
69750_S_1009955,0,0,0,0,0,1,0,20240521,20240621
69750_U_1051385,1,1,1,1,1,0,0,20240521,20240621
69749_D_961980,0,0,0,0,0,0,1,20240521,20240621
69749_S_1009954,0,0,0,0,0,1,0,20240521,20240621
69749_U_1051388,1,1,1,1,1,0,0,20240521,20240621
77823_D_1040231,0,0,0,0,0,0,1,20240521,20240621
77823_S_1040204,0,0,0,0,0,1,0,20240521,20240621
77545_U_1037315,1,1,1,1,1,0,0,20240521,20240621
69696_D_1036319,0,0,0,0,0,0,1,20240521,20240621
69696_S_1036041,0,0,0,0,0,1,0,20240521,20240621
69696_U_1007914,1,1,1,1,1,0,0,20240521,20240621
77507_D_1040232,0,0,0,0,0,0,1,20240521,20240621
77507_S_1040205,0,0,0,0,0,1,0,20240521,20240621
77507_U_1037316,1,1,1,1,1,0,0,20240521,20240621
72048_D_1046786,0,0,0,0,0,0,1,20240521,20240621
